"RefDes";"Value";"Name";"Pattern";"Manufacturer";"Quantity"
"ADAPTOR, SWITCH";"";"S4B-ZR-SM4-TF";"S4B-ZR-SM4-TF";"";"2"
"BUTTONS";"";"B8B-ZR-SM4-TF";"B8B-ZR-SM4-TF";"";"1"
"C1, C2, C3, C4,
C12, C16, C19,
C20, C21, C22";"0.1uF";"CAP_0603";"CAP_0603";"";"10"
"C5";"Cont, Cpdt";"CAP_0603";"CAP_0603";"";"2"
"C6, C8";"12pF";"CAP_0603";"CAP_0603";"";"2"
"C7";"100pF";"CAP_0603";"CAP_0603";"";"1"
"C9, C11, C41, C42";"100nF";"CAP_0603";"CAP_0603";"";"4"
"C10, C15";"4.7uF";"CAP_0805";"CAP_0805";"";"2"
"C13, C31";"1uF";"CAP_0805";"CAP_0805";"";"2"
"C14, C17, C24,
C27, C29, C33";"10uF";"CAP_1206";"CAP_1206";"";"6"
"C18";"1.5uF";"CAP_0805";"CAP_0805";"";"1"
"C23, C32, C39,
C40";"10nF";"CAP_0603";"CAP_0603";"";"4"
"C25";"22pF";"CAP_0603";"CAP_0603";"";"1"
"C26";"390uF";"APXE_sizeH70";"CAPAE-8.35x8.35h6.8
";"United Chemi-Con";"1"
"C28, C30";"2.2uF";"CAP_0805";"CAP_0805";"";"2"
"C37";"10uF";"CAP_0603";"CAP_0603";"";"1"
"C38";"22uF";"CAP_0603";"CAP_0603";"";"1"
"C44, C46";"4.7uF";"CAP_0603";"CAP_0603";"";"2"
"CHARGER_BAL";"";"90131-0123";"HDR-2x3T/2.54x2.54/8x5
";"Molex";"1"
"CHARGER_DATA";"";"90131-0124";"HDR-2x4T/2.54x2.54/10x5
";"Molex";"1"
"CHARGER_PWR1,
CHARGER_PWR2,
CHARGER_PWR3,
SMB";"";"644456-4";"HDR-1x4T/2.54/10x2
";"TE Connectivity";"4"
"D1, D2, D3, D4, D5";"";"1PS76SB10";"SOD-323";"Philips-NXP";"5"
"D6";"";"B350A-13-F";"SMA";"Diodes Inc";"1"
"D7";"";"B540C";"SMC";"Diodes Inc";"1"
"J1";"";"644456-3";"HDR-1x3T/2.54/7x2";"TE Connectivity";"1"
"J3";"BOOT";"90131-0121";"HDR-2x1T/2.54x2.54/3x5
";"Molex";"1"
"L1";"2.2uH";"IHLP2020BZER2R2M11
";"5.49x2x5.18mm";"Vishay-Dale";"1"
"L2";"22uH";"SDR1105";"SDR1105";"Bourns";"1"
"L3";"1uH";"XFL3012-102ME";"3x3x1.2mm";"Coilcraft";"1"
"L4";"10uH";"SRR1208";"SRR1208";"Bourns";"1"
"Q2";"LS, HS, ACFET, 
DSG, CHG";"CSD17308Q3";"SON 3.3x3.3mm";"Texas Instruments";"5"
"Q7";"";"2N7002KW";"SOT323";"Fairchild
Semiconductor";"1"
"Q8";"";"BSS138";"SOT23";"Philips-NXP";"1"
"Q9";"";"FMMT618TA";"SOT23";"Diodes";"1"
"R1, R6, R35";"10K";"RES_0603";"RES_0603";"";"3"
"R2, R11";"10k";"RES_0603";"RES_0603";"";"2"
"R3, R21";"SDA, SCL";"RES_0603";"RES_0603";"";"4"
"R5, R8";"3.24K";"RES_0603";"RES_0603";"";"2"
"RefDes";"Value";"Name";"Pattern";"Manufacturer";"Quantity"
"R7, R9";"22R";"RES_0603";"RES_0603";"";"2"
"R10";"INT1, INT2";"RES_0603";"RES_0603";"";"2"
"R13, R14";"100";"RES_0603";"RES_0603";"";"2"
"R15";"0.005";"RES_1210";"RES_1210";"";"1"
"R16";"SDA2, SCL2";"RES_0603";"RES_0603";"";"2"
"R17, R18";"100k";"RES_0603";"RES_0603";"";"2"
"R20";"220R";"RES_0603";"RES_0603";"";"1"
"R26";"1k";"RES_0603";"RES_0603";"";"1"
"R27";"39k2";"RES_0603";"RES_0603";"";"1"
"R28";"274k";"RES_0603";"RES_0603";"";"1"
"R29";"178k";"RES_0603";"RES_0603";"";"1"
"R30, R31";"0R";"RES_0603";"RES_0603";"";"2"
"R34, R49, R51";"10M";"RES_0603";"RES_0603";"";"3"
"R36";"0.01";"RES_2512";"RES_2512";"";"1"
"R37";"332K";"RES_0603";"RES_0603";"";"1"
"R38";"35k63";"RES_0603";"RES_0603";"";"1"
"R42, R48, R50";"5.1K";"RES_0603";"RES_0603";"";"3"
"R43";"100K";"RES_0603";"RES_0603";"";"1"
"R44";"2";"RES_0603";"RES_0603";"";"1"
"R47, R55";"10";"RES_0603";"RES_0603";"";"2"
"Res3";"100R";"ResArray";"CAY10-102J4LF";"";"1"
"S1";"RESET";"MC32882";"KMR221G LFS";"Multicomp";"1"
"U1";"";"BQ40Z60RHBR";"RHB0032E";"";"1"
"U2";"";"MIC5209";"SOT223-4";"";"1"
"U3";"";"LTC2954CDDB-1";"DFN-8/2x3x0.5";"Linear";"1"
"U4";"";"TPS5420";"SOIC-8";"";"1"
"U5";"";"STM32F302CCT6";"LQFP48/7x7";"ST";"1"
"U6";"";"TPS5450";"SOIC-8-Thermal";"TI";"1"
"U7";"100uF";"TPSD107M010R0080";"TC_2917";"";"1"
"U8";"";"TPS62080";"WSON8";"";"1"
"U9";"";"MPU9250";"QFN-24/3x3x1";"InvenSense";"1"
"Y1";"";"CFPX-5";"CFPX-5";"";"1"
