"RefDes","Value","Pattern","Quantity","Name"
"A0, A1, A2","","RES_0603","3","RES_0603"
"ADAPTOR, SWITCH","","S4B-ZR-SM4-TF","2","S4B-ZR-SM4-TF"
"BUTTONS","","B8B-ZR-SM4-TF","1","B8B-ZR-SM4-TF"
"C1, C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C16, C19, C20, C21, C22, C36","0.1uF","CAP_0603","17","CAP_0603"
"C7","100pF","CAP_0603","1","CAP_0603"
"C13, C31","1uF","CAP_0805","2","CAP_0805"
"C14, C24, C27","10uF","CAP_1206","3","CAP_1206"
"C15, C17, C39","4.7uF","CAP_0603","3","CAP_0603"
"C18","1.5uF","CAP_0805","1","CAP_0805"
"C23","22uF","CAP_1210","1","CAP_1210"
"C25","22pF","CAP_0603","1","CAP_0603"
"C26","1.8nF","CAP_0603","1","CAP_0603"
"C28, C30","2.2uF","CAP_0805","2","CAP_0805"
"C29","22nF","CAP_0603","1","CAP_0603"
"C32","430pF","CAP_0603","1","CAP_0603"
"C33, C41, C42","100nF","CAP_0603","3","CAP_0603"
"C34, C38","22uF","CAP_0603","2","CAP_0603"
"C35","360pF","CAP_0603","1","CAP_0603"
"C37","10uF","CAP_0603","1","CAP_0603"
"C40","10nF","CAP_0603","1","CAP_0603"
"C43","MISSING IN PRODUCTION","CAP_0603","1","CAP_0603"
"CHARGER_BAL","","HDR-2x3T/2.54x2.54/8x5","1","90131-0123"
"CHARGER_DATA","","HDR-2x4T/2.54x2.54/10x5","1","90131-0124"
"CHARGER_PWR1, CHARGER_PWR2, CHARGER_PWR3","","HDR-1x4T/2.54/10x2","3","644456-4"
"D1, D3, D4","","SOD-323","3","1PS76SB10"
"F1","","SFH-1412B","1","SFH-1412B"
"GPIO","NM","HDR-1x4T/2.54/10x2","1","644456-4"
"ISP","","HDR-2x3T/1.27x1.27/4x3","1","FTS-103-01-L-D"
"J1","","HDR-1x3T/2.54/7x2","1","644456-3"
"L1","2.2uH","5.49x2x5.18mm","1","IHLP2020BZER2R2M11"
"L2","2.2uH","XAL50xx","1","IND"
"L3, L4","1uH","IND_0603","2","IND_0603"
"Q1, Q8","","SOT23","2","BSS138"
"Q2, Q3","","SON 3.3x3.3mm","2","CSD17308Q3"
"Q4","ACFET","SON 3.3x3.3mm","1","CSD17308Q3"
"Q5","DSG","SON 3.3x3.3mm","1","CSD17308Q3"
"Q6","CHG","SON 3.3x3.3mm","1","CSD17308Q3"
"Q7","","SOT323","1","2N7002KW"
"Q9","","SOT23","1","FMMT618TA"
"R1","910k","RES_0603","1","RES_0603"
"R2","4K7","RES_0603","1","RES_0603"
"R3, R4, R11, R12, R16, R19","10k","RES_0603","6","RES_0603"
"R5","20K","RES_0603","1","RES_0603"
"R6, R7, R42, R48, R50","5.1K","RES_0603","5","RES_0603"
"R8, R9, R10","1K","RES_0603","3","RES_0603"
"R13, R14","100","RES_0603","2","RES_0603"
"R15","0.005","RES_1210","1","RES_1210"
"R17, R18","100k","RES_0603","2","RES_0603"
"R20","220R","RES_0603","1","RES_0603"
"R21","52k","RES_0603","1","RES_0603"
"R22","50k","RES_0603","1","RES_0603"
"R23","665R","RES_0603","1","RES_0603"
"R24","2.21k","RES_0603","1","RES_0603"
"R25","16.2k","RES_0603","1","RES_0603"
"R26","1k","RES_0603","1","RES_0603"
"R27","39k2","RES_0603","1","RES_0603"
"R28","274k","RES_0603","1","RES_0603"
"R29","178k","RES_0603","1","RES_0603"
"R30, R31","0R","RES_0603","2","RES_0603"
"R34, R49, R51","10M","RES_0603","3","RES_0603"
"R35","10K","RES_0603","1","RES_0603"
"R36","0.01","RES_2512","1","RES_2512"
"R37","332K","RES_0603","1","RES_0603"
"R38","35k63","RES_0603","1","RES_0603"
"R43","100K","RES_0603","1","RES_0603"
"R44","2","RES_0603","1","RES_0603"
"R47, R55","10","RES_0603","2","RES_0603"
"Res3","100R","CAY10-102J4LF","1","ResArray"
"SMB","","B4B-ZR-SM4-TF","1","B4B-ZR-SM4-TF"
"U1","","RHB0032E","1","BQ40Z60RHBR"
"U2","","BQ29700","1","BQ294700"
"U3","","DFN-8/2x3x0.5","1","LTC2954CDDB-1"
"U4","","S-PVQFN-N14","1","TPS54821"
"U5","","HCLGA-10L","1","LPS25H"
"U6","","SO08-EIAJ","1","ATTINY45TINY85-20-SMT"
"U7","","TSSOP-20","1","PCF8574ATS"
"U8","","WSON8","1","TPS62080"
"U9","","QFN-24/3x3x1","1","MPU9250"
