RefDes;Name;Pattern;X (in);Y (in);Side;Rotate;Value
ADAPTOR;S4B-ZR-SM4-TF;S4B-ZR-SM4-TF;2.8053;0.333;Top;180;
BUTTONS;B8B-ZR-SM4-TF;B8B-ZR-SM4-TF;2.815;0.8573;Top;0;
C1;CAP_0603;CAP_0603;1.868;2.4078;Top;0;0.1uF
C2;CAP_0603;CAP_0603;1.8698;2.339;Top;180;0.1uF
C3;CAP_0603;CAP_0603;1.868;2.2702;Top;0;0.1uF
C4;CAP_0603;CAP_0603;1.8282;2.5412;Top;90;0.1uF
C5;CAP_0603;CAP_0603;2.5658;1.6037;Top;90;Calculate
C6;CAP_0603;CAP_0603;0.7724;1.2761;Top;225;12pF
C7;CAP_0603;CAP_0603;1.9733;2.1564;Top;135;100pF
C8;CAP_0603;CAP_0603;0.6227;1.2933;Top;315;12pF
C9;CAP_0603;CAP_0603;0.5801;1.6271;Top;90;100nF
C10;CAP_0805;CAP_0805;2.572;1.1953;Top;270;4.7uF
C11;CAP_0603;CAP_0603;0.8314;1.9545;Top;45;100nF
C12;CAP_0603;CAP_0603;1.9394;2.1216;Top;315;0.1uF
C13;CAP_0805;CAP_0805;1.9845;2.5389;Top;90;1uF
C14;CAP_1206;CAP_1206;2.872;2.2004;Top;90;10uF
C15;CAP_0805;CAP_0805;2.1719;1.1827;Top;270;4.7uF
C16;CAP_0603;CAP_0603;2.5658;1.743;Top;270;0.1uF
C17;CAP_1206;CAP_1206;1.8959;0.5452;Top;0;10uF
C18;CAP_0805;CAP_0805;2.1282;2.6016;Top;270;1.5uF
C19;CAP_0603;CAP_0603;2.3448;2.5077;Top;180;0.1uF
C20;CAP_0603;CAP_0603;2.3282;2.1975;Top;90;0.1uF
C21;CAP_0603;CAP_0603;2.3845;2.1305;Top;270;0.1uF
C22;CAP_0603;CAP_0603;2.3845;2.26;Top;90;0.1uF
C23;CAP_0603;CAP_0603;1.7095;0.41;Top;90;10nF
C24;CAP_1206;CAP_1206;2.9658;2.2004;Top;90;10uF
C25;CAP_0603;CAP_0603;2.647;2.0225;Top;90;22pF
C26;APXE_sizeH70;CAPAE-8.35x8.35h6.8;1.8082;1.0929;Top;0;390uF
C27;CAP_1206;CAP_1206;2.7465;2.6526;Top;270;10uF
C28;CAP_0805;CAP_0805;3.2594;2.839;Top;0;2.2uF
C29;CAP_1206;CAP_1206;3.0709;2.0702;Top;0;10uF
C30;CAP_0805;CAP_0805;1.8908;2.5389;Top;90;2.2uF
C31;CAP_0805;CAP_0805;2.2032;2.6702;Top;90;1uF
C32;CAP_0603;CAP_0603;3.1698;1.5952;Top;180;10nF
C33;CAP_1206;CAP_1206;2.59;2.6526;Top;270;10uF
C37;CAP_0603;CAP_0603;2.9055;3.0328;Top;0;10uF
C38;CAP_0603;CAP_0603;2.9055;3.2203;Top;0;22uF
C39;CAP_0603;CAP_0603;0.9347;1.3173;Top;315;10nF
C40;CAP_0603;CAP_0603;1.872;3.235;Top;90;10nF
C41;CAP_0603;CAP_0603;2.0335;3.129;Top;0;100nF
C42;CAP_0603;CAP_0603;2.1158;3.26;Top;90;100nF
C43;CAP_0603;CAP_0603;2.2867;1.7077;Top;0;Calculate
C44;CAP_0603;CAP_0603;0.9047;1.2873;Top;315;4.7uF
C46;CAP_0603;CAP_0603;1.1577;1.639;Top;180;4.7uF
CHARGER_BAL;90131-0123;HDR-2x3T/2.54x2.54/8x5;1.072;3.196;Top;90;
CHARGER_DATA;90131-0124;HDR-2x4T/2.54x2.54/10x5;1.372;3.196;Top;90;
CHARGER_PWR1;644456-4;HDR-1x4T/2.54/10x2;0.672;3.296;Top;180;
CHARGER_PWR2;644456-4;HDR-1x4T/2.54/10x2;0.672;3.195;Top;180;
CHARGER_PWR3;644456-4;HDR-1x4T/2.54/10x2;0.672;3.095;Top;180;
ChargerBridge;RES_2512;RES_2512;2.7322;1.889;Top;0;
D1;1PS76SB10;SOD-323;2.9912;2.514;Top;180;
D2;1PS76SB10;SOD-323;2.2532;1.3644;Top;270;
